key_id,mid,following_num,follower_num
313,3546572166006806,37,4548
314,23393364,35,456921
315,41637666,1,1403453
316,250508441,69,395447
317,1328364666,11,69464
318,8969156,59,3398926
319,702548743,16,17881
320,3493077696121618,16,2257249
321,1699496602,7,398339
322,350456040,1,1213320
323,351978573,22,234307
324,18373961,24,724319
325,317783104,350,701889
326,21151219,102,972020
327,98684196,876,191104
328,1027737427,1,808834
329,262273584,251,12293
330,434348005,67,297
331,293159091,599,1067
332,331225007,276,329488
333,524733193,19,76784
334,147166910,270,3427461
335,316567547,387,555011
336,440942509,31,513
337,1835967,210,651402
338,1179443060,55,340755
339,296361005,144,372
340,1590640603,4,20808
341,339937042,47,750126
342,4092049,416,65025
343,3493260618106936,0,665732
344,298301396,199,131217
345,295567670,54,36476
346,651634561,290,8436
347,99157282,724,7951808
348,5007752,133,1817848
349,382153768,453,221272
350,115058458,159,477912
351,39015838,165,18508
352,75547577,1881,1951611
353,395415494,56,1331217
354,4831263,327,1503575
355,44106618,343,264514
356,8096990,717,2098791
357,543740771,44,1068032
358,373448384,15,730196
359,14229967,6,11861908
360,44113141,10,423
361,1363795039,37,75998
362,1176972733,71,685597
363,69221252,56,723976
364,84126970,20,2009
365,125526,169,3572270
366,1524554405,12,997778
367,3493292893277031,5,53812
368,8549633,117,936667
369,8469526,490,1669799
370,397184284,40,116757
371,297786973,25,2213196
372,450459951,64,43851
373,367927,87,254242
374,1910020454,422,1057249
375,16385920,1008,780479
376,1192648858,6,529776
377,1455989504,7,66982
378,452412746,50,1632771
379,646456240,156,797967
380,397213719,53,741072
381,14583962,189,6199447
382,19738891,37,1383045
383,173340664,108,4402
384,20706631,2,1418219
385,358122228,155,35124
386,496878562,8,50339
387,404761607,10,715801
388,505601772,187,499755
389,2043278019,48,272718
390,596395961,276,3465
391,330024722,54,7241
392,6087825,296,4674823
393,240869947,43,710933
394,523780849,229,300680
395,3537114023069979,4,242155
396,6731340,447,345122
397,19286458,10,2384533
398,11429061,11,2262662
399,7946432,243,1284944
400,3493107989481698,49,74847
401,286922198,12,4674
402,3493282359282497,44,11619
403,446430908,77,3442059
404,3493090000111868,11,817167
405,54091976,9,327268
406,22179951,191,484752
407,29252533,129,1141769
408,1273265116,24,631996
409,304415852,284,266752
410,9321359,204,1447700
411,3353026,165,2651095
412,631067398,86,473
413,241449231,314,330213
414,25480023,664,922728
415,477328270,37,912729
416,3494377422850175,5,43448
417,27500557,188,1087703
418,6016626,97,736753
