key_id,mid,following_num,follower_num,following_id
61,475845053,124,740214,407054668;1168191500;1027737427;1010614805;1297656072;1076872109;89369289;362385803;1417560552;11870568;21679082;667710632;13451879;3494362025560552;1894563281;96842328;477838096;3493107765086660;293247515;3493274394298588;492840942;2050603042;651406486;392680155;397861334;489442119;32368498;9382734;2114136403;414616410;351595763;3242119;388260737;489787289;181998984;55970321;396091320;305470882;321173469;627589437;433307;179717156;10653966;306895558;2206456;174501086;470819116;1745584728;201488550;522588;2342149;121978101;26032219;495535252;946974;473222648;434736287;9617619;546195;416128940;147166910;1646036311;81824112;126082401;1605721;402372245;283060556;19642758;513851725;285499073;1165909372;3913194;134664345;105203349;74917341;14082;787092;35565205;486947473;1417202064;13354765;660453238;32660634;402576555;517327498;1921746878;7552204;454065593;405845641;1893045;474702359;163637592;174902557;330415548;21396871;8937568;382189062;37090048;490670548;10846843
62,1007043700,110,1773741,3334179;6087825;23947287;517327498;927587;1466167998;173469252;39627524;102999485;13046;324268342;290526283;226231535;1986039004;439478093;61694964;1123353719;404200804;3493080560830654;505601772;2026561407;250858633;353539995;28152409;3494349748832314;5621343;99157282;25910292;1548805549;423738152;317992583;94510621;1618410357;674510452;406636263;320840078;686150641;2020642651;424658638;503481919;472488266;1531707;1629347259;662609045;38053181;946974;474267806;3493077696121618;25515594;506761354;22089099;308693140;3461565930015324;11336264;168687092;13354765;280793434;325255680;40830058;5671141;37663924;365135915;546195;524704055;18202105;476704454;2304046;275981;7349;2403047;193584;16794231;7487399;478691043;491461718;2200736;473524263;452606628;94834254;491593210;2920960;1916474;8960728;5970160;3760773;21778075;94281836;174902557;3766866;24478119;533459953;4162287;375375;36207566;7788379;1724598;72270557;47441;337521240;2000819931
63,485704862,79,1659341,3957971;596842980;1618410357;451645162;5294454;1869712375;8911570;588278127;11870568;1317921047;17546432;1131457022;147166910;85835398;419872064;250858633;507521207;16206007;406636263;353539995;91399769;290738125;11423245;544336675;207346018;338927049;6087825;447317111;8946523;562197;52165725;220008675;455557356;6739643;438926406;15541748;507091844;474803476;946974;227107602;395936853;31220044;1754707;81824112;163637592;474702359;285571498;517327498;4474705;2920960;176037767;476704454;26139491;125526;456664753;273831140;320840078;15257891;29329085;686150641;452606628;254463269;353317161;491461718;688635954;39627524;394609671;235555226;5771902;8047632;37090048;7552204;516729853;18202105;470156882;25807917;473222648;243872957;99157282
64,11643866,773,1244521,forbidden
65,25987061,29,359806,1904515272;9295953;6989892;39627524;345976681;1162999205;25706078;676689505;702909260;454719565;339233162;686150641;22170787;495419424;12213938;80898098;244322985;749833;33488229;688460131;432870231;942755;158119101;495535252;473222648;320840078;37090048;321173469;17819768
66,1986039004,59,1938575,forbidden
67,437414077,80,48541,forbidden
68,393116415,42,732277,1672473783;3461562926893602;1453409239;494657112;388477943;605397753;2014688638;622986240;666830035;649661652;9617619;2043763256;473222648;320840078;1842784265;495535252;86566982;692934445;35847683;2398887;1925825358;20530305;24490535;13994927;1649054026;698778855;1785865347;1850189660;384689483;323024456;1117942233;313540494;1757443592;1327260864;77049053;14157458;389693757;474674503;528461028;491461718;235555226;37090048
69,19642758,490,4166004,forbidden
70,1369831472,40,227860,3493281113573620;3493257554167828;256194653;383433896;472252603;651757199;20530305;676174563;138624168;543385368;20829945;1908551987;1937308559;98718075;431448862;689222371;473222648;480246098;1757943316;537977293;11283972;25890495;320840078;350826676;36327462;349157;179236650;20714811;171767281;1268736102;1534580021;516057245;53576175;348871697;423788361;447333328;97213827;3552206;2121165028;485041200
